time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-03-01	327167433	327167433	327167433	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-02	327167432	327167432	327167432	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-03	327167432	327167432	327167432	0	0	0	0	0	0	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-04	327167431	327167431	327167431	0	0	0	0	0	0	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-05	327167429	327167429	327167430	0	0	0	0	0	0	3	3	3	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2020-03-06	327167428	327167427	327167428	0	0	0	0	0	0	4	3	4	1	1	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2020-03-07	327167425	327167425	327167426	0	0	0	0	0	0	5	4	5	2	2	2	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0
2020-03-08	327167422	327167421	327167423	0	0	0	0	0	0	7	6	7	3	2	3	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0
2020-03-09	327167418	327167417	327167420	0	0	0	0	0	0	9	8	10	4	3	4	0	0	0	3	3	4	0	0	0	0	0	0	0	0	0
2020-03-10	327167413	327167410	327167415	0	0	0	0	0	0	12	10	14	5	4	5	0	0	0	5	4	5	0	0	0	0	0	0	0	0	0
