time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-02-07	327167433	327167433	327167433	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-08	327167432	327167432	327167432	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-09	327167432	327167431	327167432	0	0	0	0	0	0	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-10	327167430	327167430	327167431	0	0	0	0	0	0	2	2	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2020-02-11	327167429	327167429	327167429	0	0	0	0	0	0	3	3	3	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2020-02-12	327167427	327167426	327167427	0	0	0	0	0	0	4	4	5	2	2	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2020-02-13	327167424	327167423	327167425	0	0	0	0	0	0	6	6	7	2	2	2	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0
2020-02-14	327167420	327167419	327167421	0	0	0	0	0	0	8	8	9	3	3	3	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0
2020-02-15	327167414	327167412	327167416	0	0	0	0	0	0	11	10	13	4	4	5	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0
2020-02-16	327167407	327167404	327167410	0	0	0	0	0	0	16	14	18	6	5	7	0	0	0	6	5	6	0	0	0	0	0	0	0	0	0
2020-02-17	327167396	327167392	327167401	0	0	0	0	0	0	22	19	25	8	7	9	0	0	0	8	7	9	0	0	0	0	0	0	0	0	0
2020-02-18	327167382	327167375	327167389	0	0	0	0	0	0	30	26	36	11	10	13	0	0	0	11	10	12	0	0	0	0	0	0	0	0	0
2020-02-19	327167362	327167352	327167373	0	0	0	0	0	0	41	35	50	15	14	18	0	0	0	15	14	17	0	0	0	1	0	1	0	0	0
